activity_0,activity_1,activity_count_0,activity_count_1,adjacency_rate,blocked_partner0,blocked_partner1,blocked_partner_total,blocked_wall0,blocked_wall1,blocked_wall_total,collisions,condition,contribution_ratio_0,contribution_ratio_1,efficiency_0,efficiency_1,event_trigger,exp0_count,exp0_rate,exp1_count,exp1_rate,exp_any_count,exp_any_rate,goal_change_only,handoff_total,horizon,idle_rate0,idle_rate1,idle_rate_avg,interactivity_0,interactivity_1,interactivity_count_0,interactivity_count_1,layout,mean_delivery_interval,mode,objs_after_avg,objs_before_avg,plate_pickup_total,plate_pickup_while_cooking_count,plate_pickup_while_cooking_rate,pot_cooking_rate,pot_empty_rate,pot_ready_wait_rate,productive_actions_0,productive_actions_1,productive_actions_total,seed,soups_delivered,time_to_first_delivery,timesteps,total_game_reward,total_shaped_reward
0.45,0.275,360,220,0.62,1,0,1,64,40,104,0,exp,0.7833333333333333,0.21666666666666667,844.4444444444445,1381.8181818181818,True,0,0.0,188,0.235,188,0.235,True,0,800,0.55125,0.725,0.638125,0.17625,0.07375,141,59,cramped_room,39.94444444444444,both,0.85625,0.85625,20,0,0.0,0.475,0.14375,0.07625,141,39,180,0,19,42,800,380.0,322.0
0.46,0.26875,368,215,0.595,0,0,0,63,40,103,0,exp,0.7821229050279329,0.21787709497206703,826.0869565217391,1413.953488372093,True,0,0.0,187,0.23375,187,0.23375,True,0,800,0.54,0.73125,0.635625,0.175,0.0725,140,58,cramped_room,41.05555555555556,both,0.84,0.83875,20,0,0.0,0.4575,0.16125,0.07625,140,39,179,10,19,43,800,380.0,305.0
0.46,0.27125,368,217,0.58875,0,0,0,60,40,100,0,exp,0.7796610169491526,0.22033898305084745,826.0869565217391,1400.921658986175,True,0,0.0,186,0.2325,186,0.2325,True,0,800,0.54,0.72875,0.634375,0.1725,0.0725,138,58,cramped_room,41.22222222222222,both,0.835,0.83375,20,0,0.0,0.45125,0.16625,0.07625,138,39,177,11,19,43,800,380.0,302.0
0.46125,0.265,369,212,0.60625,2,1,3,58,38,96,1,exp,0.7790697674418605,0.22093023255813954,823.8482384823849,1433.9622641509434,True,0,0.0,181,0.22625,181,0.22625,True,0,800,0.54125,0.73625,0.6387499999999999,0.1675,0.07125,134,57,cramped_room,41.72222222222222,both,0.82625,0.82625,19,0,0.0,0.45125,0.17375,0.07375,134,38,172,12,19,47,800,380.0,287.0
0.4625,0.26875,370,215,0.60375,1,1,2,58,39,97,1,exp,0.7771428571428571,0.22285714285714286,821.6216216216216,1413.953488372093,True,0,0.0,184,0.23,184,0.23,True,0,800,0.53875,0.7325,0.635625,0.17,0.0725,136,58,cramped_room,40.833333333333336,both,0.8425,0.84125,20,0,0.0,0.45125,0.15875,0.0725,136,39,175,13,19,47,800,380.0,302.0
0.45125,0.26875,361,215,0.60375,1,0,1,61,40,101,0,exp,0.7821229050279329,0.21787709497206703,842.1052631578948,1413.953488372093,True,0,0.0,184,0.23,184,0.23,True,0,800,0.55,0.73125,0.640625,0.175,0.0725,140,58,cramped_room,40.333333333333336,both,0.85875,0.8575,20,0,0.0,0.475,0.1425,0.07375,140,39,179,14,19,43,800,380.0,314.0
0.45375,0.27,363,216,0.60375,3,1,4,59,40,99,1,exp,0.7821229050279329,0.21787709497206703,837.4655647382921,1407.4074074074074,True,0,0.0,184,0.23,184,0.23,True,0,800,0.55,0.73125,0.640625,0.175,0.0725,140,58,cramped_room,40.111111111111114,both,0.84875,0.8475,20,0,0.0,0.47125,0.1525,0.075,140,39,179,15,19,45,800,380.0,308.0
0.4525,0.27,362,216,0.6075,3,2,5,62,39,101,2,exp,0.7821229050279329,0.21787709497206703,839.7790055248619,1407.4074074074074,True,0,0.0,182,0.2275,182,0.2275,True,0,800,0.55125,0.7325,0.641875,0.175,0.0725,140,58,cramped_room,40.27777777777778,both,0.85875,0.8575,20,0,0.0,0.4675,0.1425,0.07125,140,39,179,16,19,43,800,380.0,311.0
0.4575,0.27625,366,221,0.58875,2,2,4,59,40,99,2,exp,0.7821229050279329,0.21787709497206703,830.6010928961748,1375.5656108597286,True,0,0.0,183,0.22875,183,0.22875,True,0,800,0.545,0.72625,0.635625,0.175,0.0725,140,58,cramped_room,40.72222222222222,both,0.84125,0.84,20,0,0.0,0.46,0.16,0.07375,140,39,179,17,19,43,800,380.0,302.0
0.4575,0.27125,366,217,0.59,3,2,5,66,40,106,2,exp,0.7821229050279329,0.21787709497206703,830.6010928961748,1400.921658986175,True,0,0.0,186,0.2325,186,0.2325,True,0,800,0.54625,0.73125,0.6387499999999999,0.175,0.0725,140,58,cramped_room,40.888888888888886,both,0.84125,0.84,20,0,0.0,0.46375,0.16,0.0725,140,39,179,18,19,42,800,380.0,305.0
