activity_0,activity_1,activity_count_0,activity_count_1,adjacency_rate,blocked_partner0,blocked_partner1,blocked_partner_total,blocked_wall0,blocked_wall1,blocked_wall_total,collisions,condition,contribution_ratio_0,contribution_ratio_1,efficiency_0,efficiency_1,event_trigger,exp0_count,exp0_rate,exp1_count,exp1_rate,exp_any_count,exp_any_rate,goal_change_only,handoff_total,horizon,idle_rate0,idle_rate1,idle_rate_avg,interactivity_0,interactivity_1,interactivity_count_0,interactivity_count_1,layout,mean_delivery_interval,mode,objs_after_avg,objs_before_avg,plate_pickup_total,plate_pickup_while_cooking_count,plate_pickup_while_cooking_rate,pot_cooking_rate,pot_empty_rate,pot_ready_wait_rate,productive_actions_0,productive_actions_1,productive_actions_total,seed,soups_delivered,time_to_first_delivery,timesteps,total_game_reward,total_shaped_reward
0.8225,0.26375,658,211,0.0,0,0,0,139,20,159,0,exp,0.7817460317460317,0.21825396825396826,656.5349544072948,2047.3933649289102,True,0,0.0,268,0.335,268,0.335,True,1,800,0.1775,0.73625,0.456875,0.24625,0.1025,197,82,asymmetric_advantages,28.5,both,1.48,1.47875,28,9,0.32142857142857145,0.32375,0.260625,0.045,197,55,252,0,27,38,800,540.0,453.0
0.79875,0.26125,639,209,0.0,0,0,0,145,22,167,0,exp,0.782608695652174,0.21739130434782608,676.0563380281691,2066.9856459330144,True,0,0.0,271,0.33875,271,0.33875,True,2,800,0.20125,0.73875,0.47000000000000003,0.2475,0.1025,198,82,asymmetric_advantages,28.423076923076923,both,1.42875,1.42625,28,9,0.32142857142857145,0.325625,0.286875,0.045,198,55,253,1,27,38,800,540.0,444.0
0.815,0.2575,652,206,0.0,0,0,0,133,23,156,0,exp,0.7777777777777778,0.2222222222222222,662.5766871165645,2097.0873786407765,True,0,0.0,263,0.32875,263,0.32875,True,1,800,0.185,0.7425,0.46375,0.23625,0.10125,189,81,asymmetric_advantages,29.115384615384617,both,1.44125,1.44125,27,9,0.3333333333333333,0.320625,0.279375,0.045,189,54,243,2,27,41,800,540.0,435.0
0.80375,0.27,643,216,0.0,0,0,0,143,24,167,0,exp,0.7790697674418605,0.22093023255813954,696.7340590979783,2074.074074074074,True,0,0.0,278,0.3475,278,0.3475,True,1,800,0.19625,0.73,0.463125,0.25125,0.10625,201,85,asymmetric_advantages,28,both,1.435,1.43375,29,9,0.3103448275862069,0.3325,0.283125,0.046875,201,57,258,3,28,39,800,560.0,455.0
0.805,0.26125,644,209,0.0,0,0,0,140,22,162,0,exp,0.7843137254901961,0.21568627450980393,670.807453416149,2066.9856459330144,True,0,0.0,271,0.33875,271,0.33875,True,1,800,0.195,0.73875,0.46687500000000004,0.25,0.1025,200,82,asymmetric_advantages,27.96153846153846,both,1.4275,1.425,28,9,0.32142857142857145,0.33125,0.2875,0.045,200,55,255,4,27,40,800,540.0,447.0
0.79375,0.2675,635,214,0.0,0,0,0,146,20,166,0,exp,0.7843137254901961,0.21568627450980393,680.3149606299213,2018.6915887850466,True,0,0.0,275,0.34375,275,0.34375,True,2,800,0.20625,0.7325,0.469375,0.25,0.10375,200,83,asymmetric_advantages,27.884615384615383,both,1.455,1.45375,28,9,0.32142857142857145,0.3325,0.273125,0.046875,200,55,255,5,27,38,800,540.0,455.0
0.7975,0.3325,638,266,0.0,0,0,0,153,19,172,0,noexp,0.7701863354037267,0.22981366459627328,877.7429467084639,2105.2631578947367,True,0,0.0,0,0.0,0,0.0,True,2,800,0.2025,0.6675,0.435,0.315,0.13125,252,105,asymmetric_advantages,22.38235294117647,both,1.60875,1.6075,35,24,0.6857142857142857,0.42125,0.19625,0.055,248,74,322,0,35,37,800,700.0,586.0
0.8325,0.335,666,268,0.0,0,0,0,160,19,179,0,noexp,0.7815384615384615,0.21846153846153846,840.8408408408408,2089.55223880597,True,0,0.0,0,0.0,0,0.0,True,2,800,0.1675,0.665,0.41625,0.32375,0.1325,259,106,asymmetric_advantages,21.58823529411765,both,1.6275,1.625,36,27,0.75,0.429375,0.1875,0.055,254,71,325,1,35,39,800,700.0,613.0
0.83625,0.33625,669,269,0.0,0,0,0,155,20,175,0,noexp,0.7760736196319018,0.22392638036809817,837.0702541106128,2081.7843866171006,True,0,0.0,0,0.0,0,0.0,True,4,800,0.16375,0.66375,0.41374999999999995,0.32125,0.1325,257,106,asymmetric_advantages,21.823529411764707,both,1.595,1.5925,36,26,0.7222222222222222,0.4175,0.20375,0.055625,253,73,326,2,35,40,800,700.0,604.0
0.8,0.32625,640,261,0.0,0,0,0,158,21,179,0,noexp,0.7788461538461539,0.22115384615384615,850.0,2084.2911877394636,True,0,0.0,0,0.0,0,0.0,True,0,800,0.2,0.67375,0.436875,0.30875,0.12875,247,103,asymmetric_advantages,22.515151515151516,both,1.615,1.6125,35,26,0.7428571428571429,0.41125,0.19375,0.055,243,69,312,3,34,50,800,680.0,590.0
