activity_0,activity_1,activity_count_0,activity_count_1,adjacency_rate,blocked_partner0,blocked_partner1,blocked_partner_total,blocked_wall0,blocked_wall1,blocked_wall_total,collisions,condition,contribution_ratio_0,contribution_ratio_1,efficiency_0,efficiency_1,event_trigger,exp0_count,exp0_rate,exp1_count,exp1_rate,exp_any_count,exp_any_rate,goal_change_only,handoff_total,horizon,idle_rate0,idle_rate1,idle_rate_avg,interactivity_0,interactivity_1,interactivity_count_0,interactivity_count_1,layout,mean_delivery_interval,mode,objs_after_avg,objs_before_avg,plate_pickup_total,plate_pickup_while_cooking_count,plate_pickup_while_cooking_rate,pot_cooking_rate,pot_empty_rate,pot_ready_wait_rate,productive_actions_0,productive_actions_1,productive_actions_total,seed,soups_delivered,time_to_first_delivery,timesteps,total_game_reward,total_shaped_reward
0.00125,0.00375,1,3,0.0,0,0,0,0,1,1,0,exp,0.0,1.0,0.0,0.0,True,0,0.0,2,0.0025,2,0.0025,True,0,800,0.99875,0.99625,0.9975,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,0,0,800,800,0.0,0.0
0.00125,0.00375,1,3,0.0,0,0,0,0,1,1,0,exp,0.0,1.0,0.0,0.0,True,0,0.0,2,0.0025,2,0.0025,True,0,800,0.99875,0.99625,0.9975,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,1,0,800,800,0.0,0.0
0.00125,0.00375,1,3,0.0,0,0,0,0,1,1,0,exp,0.0,1.0,0.0,0.0,True,0,0.0,2,0.0025,2,0.0025,True,0,800,0.99875,0.99625,0.9975,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,2,0,800,800,0.0,0.0
0.00125,0.00375,1,3,0.0,0,0,0,0,1,1,0,exp,0.0,1.0,0.0,0.0,True,0,0.0,2,0.0025,2,0.0025,True,0,800,0.99875,0.99625,0.9975,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,3,0,800,800,0.0,0.0
0.00125,0.00375,1,3,0.0,0,0,0,0,1,1,0,exp,0.0,1.0,0.0,0.0,True,0,0.0,2,0.0025,2,0.0025,True,0,800,0.99875,0.99625,0.9975,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,4,0,800,800,0.0,0.0
0.00125,0.00375,1,3,0.0,0,0,0,0,1,1,0,exp,0.0,1.0,0.0,0.0,True,0,0.0,2,0.0025,2,0.0025,True,0,800,0.99875,0.99625,0.9975,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,5,0,800,800,0.0,0.0
0.0,0.00375,0,3,0.0,0,0,0,0,1,1,0,noexp,0.0,1.0,0.0,0.0,True,0,0.0,0,0.0,0,0.0,True,0,800,1.0,0.99625,0.9981249999999999,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,0,0,800,800,0.0,0.0
0.0,0.00375,0,3,0.0,0,0,0,0,1,1,0,noexp,0.0,1.0,0.0,0.0,True,0,0.0,0,0.0,0,0.0,True,0,800,1.0,0.99625,0.9981249999999999,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,1,0,800,800,0.0,0.0
0.0,0.00375,0,3,0.0,0,0,0,0,1,1,0,noexp,0.0,1.0,0.0,0.0,True,0,0.0,0,0.0,0,0.0,True,0,800,1.0,0.99625,0.9981249999999999,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,2,0,800,800,0.0,0.0
0.0,0.00375,0,3,0.0,0,0,0,0,1,1,0,noexp,0.0,1.0,0.0,0.0,True,0,0.0,0,0.0,0,0.0,True,0,800,1.0,0.99625,0.9981249999999999,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,3,0,800,800,0.0,0.0
0.0,0.00375,0,3,0.0,0,0,0,0,1,1,0,noexp,0.0,1.0,0.0,0.0,True,0,0.0,0,0.0,0,0.0,True,0,800,1.0,0.99625,0.9981249999999999,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,4,0,800,800,0.0,0.0
0.0,0.00375,0,3,0.0,0,0,0,0,1,1,0,noexp,0.0,1.0,0.0,0.0,True,0,0.0,0,0.0,0,0.0,True,0,800,1.0,0.99625,0.9981249999999999,0.0,0.00125,0,1,forced_coordination,800.0,both,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,1,1,5,0,800,800,0.0,0.0
